"","species","time","allN","newN","relNew"
"658","DO",1996 May,6,2,0.333333333333333
"659","DO",1996 Jun,12,1,0.0833333333333333
"660","DO",1996 Jul,7,0,0
"661","DO",1996 Aug,5,0,0
"662","DO",1996 Sep,8,4,0.5
"663","DO",1996 Oct,8,1,0.125
"664","DO",1996 Nov,9,4,0.444444444444444
"665","DO",1996 Dec,16,5,0.3125
"666","DO",1997 Feb,23,10,0.434782608695652
"667","DO",1997 Mar,24,14,0.583333333333333
"668","DO",1997 Apr,20,8,0.4
"669","DO",1997 May,23,8,0.347826086956522
"670","DO",1997 Jun,17,2,0.117647058823529
"671","DO",1997 Jul,37,10,0.27027027027027
"672","DO",1997 Sep,14,2,0.142857142857143
"673","DO",1997 Oct,11,1,0.0909090909090909
"674","DO",1997 Nov,15,3,0.2
"675","DO",1997 Dec,12,0,0
"676","DO",1998 Jan,4,1,0.25
"677","DO",1998 Feb,7,2,0.285714285714286
"678","DO",1998 Mar,19,4,0.210526315789474
"679","DO",1998 May,17,11,0.647058823529412
"680","DO",1998 Jun,10,5,0.5
"681","DO",1998 Jul,7,3,0.428571428571429
"682","DO",1998 Aug,5,0,0
"683","DO",1998 Sep,11,6,0.545454545454545
"684","DO",1998 Oct,10,5,0.5
"685","DO",1998 Nov,13,3,0.230769230769231
"686","DO",1998 Dec,5,1,0.2
"687","DO",1999 Jan,12,1,0.0833333333333333
"688","DO",1999 Feb,12,2,0.166666666666667
"689","DO",1999 Mar,9,1,0.111111111111111
"690","DO",1999 Apr,15,2,0.133333333333333
"691","DO",1999 May,12,3,0.25
"692","DO",1999 Jun,10,1,0.1
"693","DO",1999 Oct,5,3,0.6
"694","DO",1999 Nov,3,1,0.333333333333333
"695","DO",1999 Dec,5,2,0.4
"696","DO",2000 Jan,11,7,0.636363636363636
"697","DO",2000 Feb,13,6,0.461538461538462
"698","DO",2000 Mar,8,2,0.25
"699","DO",2000 Apr,13,4,0.307692307692308
"700","DO",2000 Jun,13,7,0.538461538461538
"701","DO",2000 Jul,8,2,0.25
"702","DO",2000 Aug,5,2,0.4
"703","DO",2000 Sep,2,0,0
"704","DO",2000 Oct,3,1,0.333333333333333
"705","DO",2000 Nov,6,2,0.333333333333333
"706","DO",2000 Dec,4,0,0
"707","DO",2001 Jan,2,0,0
"708","DO",2001 Apr,7,4,0.571428571428571
"709","DO",2001 May,6,3,0.5
"710","DO",2001 Jun,4,2,0.5
"711","DO",2001 Jul,6,3,0.5
"712","DO",2001 Aug,7,3,0.428571428571429
"713","DO",2001 Sep,6,1,0.166666666666667
"714","DO",2001 Oct,11,5,0.454545454545455
"715","DO",2001 Nov,17,7,0.411764705882353
"716","DO",2001 Dec,8,3,0.375
"717","DO",2002 Jan,8,4,0.5
"718","DO",2002 Feb,15,4,0.266666666666667
"719","DO",2002 Mar,21,9,0.428571428571429
"720","DO",2002 Apr,25,10,0.4
"721","DO",2002 May,23,6,0.260869565217391
"722","DO",2002 Jun,19,4,0.210526315789474
"723","DO",2002 Jul,17,1,0.0588235294117647
"724","DO",2002 Sep,6,1,0.166666666666667
"725","DO",2002 Oct,9,3,0.333333333333333
"726","DO",2002 Nov,13,5,0.384615384615385
"727","DO",2002 Dec,31,9,0.290322580645161
"728","DO",2003 Feb,25,9,0.36
"729","DO",2003 Mar,61,14,0.229508196721311
"730","DO",2003 May,42,11,0.261904761904762
"731","DO",2003 Jun,18,2,0.111111111111111
"732","DO",2003 Jul,13,2,0.153846153846154
"733","DO",2003 Aug,10,1,0.1
"734","DO",2003 Sep,12,5,0.416666666666667
"735","DO",2003 Oct,8,0,0
"736","DO",2003 Nov,13,3,0.230769230769231
"737","DO",2003 Dec,8,0,0
"738","DO",2004 Jan,9,0,0
"739","DO",2004 Feb,13,8,0.615384615384615
"740","DO",2004 Mar,6,2,0.333333333333333
"741","DO",2004 Apr,6,0,0
"742","DO",2004 May,16,6,0.375
"743","DO",2004 Jun,13,6,0.461538461538462
"744","DO",2004 Jul,9,2,0.222222222222222
"745","DO",2004 Aug,9,4,0.444444444444444
"746","DO",2004 Sep,5,1,0.2
"747","DO",2004 Oct,9,2,0.222222222222222
"748","DO",2004 Nov,3,0,0
"749","DO",2004 Dec,12,4,0.333333333333333
"750","DO",2005 Jan,24,13,0.541666666666667
"751","DO",2005 Mar,15,6,0.4
"752","DO",2005 Apr,11,5,0.454545454545455
"753","DO",2005 May,18,5,0.277777777777778
"754","DO",2005 Jun,17,7,0.411764705882353
"755","DO",2005 Jul,11,4,0.363636363636364
"756","DO",2005 Aug,12,2,0.166666666666667
"757","DO",2005 Sep,14,2,0.142857142857143
"758","DO",2005 Oct,8,0,0
"759","DO",2005 Nov,12,4,0.333333333333333
"760","DO",2005 Dec,14,4,0.285714285714286
"761","DO",2006 Jan,33,9,0.272727272727273
"762","DO",2006 Mar,18,3,0.166666666666667
"763","DO",2006 Apr,12,3,0.25
"764","DO",2006 May,12,1,0.0833333333333333
"765","DO",2006 Jun,6,0,0
"766","DO",2006 Jul,8,0,0
"767","DO",2006 Aug,3,1,0.333333333333333
"768","DO",2006 Sep,2,0,0
"769","DO",2006 Oct,2,0,0
"770","DO",2006 Nov,5,2,0.4
"771","DO",2006 Dec,6,3,0.5
"772","DO",2007 Jan,8,7,0.875
"773","DO",2007 Feb,14,8,0.571428571428571
"774","DO",2007 Mar,20,6,0.3
"775","DO",2007 Apr,12,2,0.166666666666667
"776","DO",2007 May,14,3,0.214285714285714
"777","DO",2007 Jun,23,9,0.391304347826087
"778","DO",2007 Jul,20,5,0.25
"779","DO",2007 Aug,12,6,0.5
"780","DO",2007 Sep,25,8,0.32
"781","DO",2007 Oct,26,3,0.115384615384615
"782","DO",2007 Nov,31,8,0.258064516129032
"783","DO",2007 Dec,36,3,0.0833333333333333
"784","DO",2008 Jan,31,3,0.0967741935483871
"785","DO",2008 Feb,34,7,0.205882352941176
"786","DO",2008 Mar,35,3,0.0857142857142857
"787","DO",2008 Apr,41,11,0.268292682926829
"788","DO",2008 May,49,13,0.26530612244898
"789","DO",2008 Jun,81,2,0.0246913580246914
"790","DO",2008 Jul,25,0,0
"791","DO",2008 Aug,12,0,0
"792","DO",2008 Sep,16,1,0.0625
"793","DO",2008 Oct,18,4,0.222222222222222
"794","DO",2008 Nov,21,3,0.142857142857143
"795","DO",2008 Dec,22,5,0.227272727272727
"796","DO",2009 Jan,22,6,0.272727272727273
"797","DO",2009 Feb,22,8,0.363636363636364
"798","DO",2009 Mar,29,10,0.344827586206897
"799","DO",2009 Apr,25,8,0.32
"800","DO",2009 May,28,8,0.285714285714286
"801","DO",2009 Jun,24,2,0.0833333333333333
"802","DO",2009 Jul,18,2,0.111111111111111
"803","DO",2009 Aug,13,1,0.0769230769230769
"804","DO",2009 Sep,5,1,0.2
"805","DO",2009 Oct,3,0,0
"806","DO",2009 Nov,1,0,0
"807","DO",2009 Dec,1,0,0
"808","DO",2010 Feb,1,0,0
"809","DO",2010 Mar,1,0,0
"810","DO",2010 Apr,1,1,1
"811","DO",2010 May,1,0,0
"812","DO",2010 Jul,1,0,0
"813","DO",2010 Sep,3,2,0.666666666666667
"814","DO",2010 Nov,2,0,0
"815","DO",2011 Jan,6,3,0.5
"816","DO",2011 Feb,2,0,0
"817","DO",2011 Mar,3,1,0.333333333333333
"818","DO",2011 Apr,6,4,0.666666666666667
"819","DO",2011 May,4,1,0.25
"820","DO",2011 Jul,2,0,0
"821","DO",2011 Aug,2,0,0
"822","DO",2012 Jan,2,2,1
"823","DO",2012 Feb,1,1,1
"824","DO",2012 Mar,3,2,0.666666666666667
"825","DO",2012 Apr,1,0,0
"826","DO",2012 May,3,3,1
"827","DO",2012 Jun,1,0,0
"828","DO",2012 Jul,2,1,0.5
"829","DO",2012 Aug,2,0,0
"830","DO",2012 Sep,2,0,0
"831","DO",2012 Oct,1,1,1
"832","DO",2012 Nov,1,0,0
"833","DO",2012 Dec,2,1,0.5
"834","DO",2013 Jan,2,2,1
"835","DO",2013 Feb,2,1,0.5
"836","DO",2013 Mar,6,3,0.5
"837","DO",2013 Apr,3,0,0
"838","DO",2013 May,4,2,0.5
"839","DO",2013 Jul,4,2,0.5
"840","DO",2013 Sep,5,3,0.6
"841","DO",2013 Nov,3,1,0.333333333333333
"842","DO",2013 Dec,2,1,0.5
"843","DO",2014 Feb,9,6,0.666666666666667
"844","DO",2014 Mar,21,11,0.523809523809524
"845","DO",2014 Apr,17,10,0.588235294117647
"846","DO",2014 May,10,3,0.3
"847","DO",2014 Jun,14,5,0.357142857142857
"848","DO",2014 Aug,25,3,0.12
"849","DO",2014 Sep,6,2,0.333333333333333
"850","DO",2014 Oct,9,4,0.444444444444444
"851","DO",2014 Nov,9,2,0.222222222222222
"852","DO",2014 Dec,7,3,0.428571428571429
"853","DO",2015 Jan,13,8,0.615384615384615
"854","DO",2015 Feb,21,11,0.523809523809524
"855","DO",2015 Mar,22,7,0.318181818181818
"856","DO",2015 Apr,9,5,0.555555555555556
"857","DO",2015 May,13,7,0.538461538461538
"858","DO",2015 Jun,13,7,0.538461538461538
"859","DO",2015 Jul,10,5,0.5
"860","DO",2015 Aug,15,5,0.333333333333333
"861","DO",2015 Sep,14,3,0.214285714285714
"862","DO",2015 Oct,16,5,0.3125
"863","DO",2015 Nov,16,3,0.1875
"864","DO",2016 Jan,6,0,0
"865","DO",2016 Feb,19,4,0.210526315789474
"866","DO",2016 Mar,21,2,0.0952380952380952
"867","DO",2016 Apr,8,0,0
"868","DO",2016 May,20,5,0.25
"869","DO",2016 Jun,15,0,0
"870","DO",2016 Jul,12,1,0.0833333333333333
"871","DO",2016 Aug,12,2,0.166666666666667
"872","DO",2016 Sep,9,0,0
"873","DO",2016 Oct,5,0,0
"874","DO",2016 Nov,6,1,0.166666666666667
"875","DO",2016 Dec,2,0,0
"876","DO",2017 Jan,21,11,0.523809523809524
"877","DO",2017 Feb,11,2,0.181818181818182
"878","DO",2017 Mar,15,7,0.466666666666667
"879","DO",2017 Apr,14,4,0.285714285714286
"880","DO",2017 May,20,7,0.35
"881","DO",2017 Jun,7,1,0.142857142857143
"882","DO",2017 Jul,3,1,0.333333333333333
"883","DO",2017 Aug,8,1,0.125
"884","DO",2017 Sep,7,1,0.142857142857143
"885","DO",2017 Oct,5,2,0.4
"886","DO",2017 Nov,3,0,0
"887","DO",2017 Dec,1,0,0
"888","DO",2018 Jan,1,0,0
"889","DO",2018 Feb,1,0,0
"890","DO",2018 Apr,2,0,0
"891","DO",2018 May,3,0,0
"892","DO",2018 Jun,1,0,0
"893","DO",2018 Aug,1,0,0
"894","DO",2018 Sep,2,0,0
"895","DO",2018 Oct,2,1,0.5
"896","DO",2019 May,1,1,1
"897","DO",2019 Jun,4,4,1
"898","DO",2019 Aug,4,2,0.5
"899","DO",2019 Sep,5,1,0.2
"900","DO",2019 Oct,4,2,0.5
"901","DO",2019 Nov,9,5,0.555555555555556
"902","DO",2019 Dec,6,1,0.166666666666667
"903","DS",1978 Jan,12,0,0
"904","DS",1978 Feb,11,0,0
"905","DS",1978 Mar,15,0,0
"906","DS",1978 Apr,22,0,0
"907","DS",1978 May,24,0,0
"908","DS",1978 Jun,29,0,0
"909","DS",1978 Jul,26,0,0
"910","DS",1978 Aug,21,0,0
"911","DS",1978 Sep,23,0,0
"912","DS",1978 Oct,20,0,0
"913","DS",1978 Nov,14,0,0
"914","DS",1978 Dec,10,0,0
"915","DS",1979 Jan,3,0,0
"916","DS",1979 Feb,9,0,0
"917","DS",1979 Mar,17,0,0
"918","DS",1979 Apr,19,0,0
"919","DS",1979 May,24,0,0
"920","DS",1979 Jul,28,0,0
"921","DS",1979 Aug,13,0,0
"922","DS",1979 Sep,8,0,0
"923","DS",1979 Oct,11,0,0
"924","DS",1979 Nov,8,0,0
"925","DS",1980 Jan,8,0,0
"926","DS",1980 Feb,7,0,0
"927","DS",1980 Mar,15,0,0
"928","DS",1980 Apr,17,0,0
"929","DS",1980 May,23,0,0
"930","DS",1980 Jun,22,0,0
"931","DS",1980 Jul,14,0,0
"932","DS",1980 Aug,14,0,0
"933","DS",1980 Sep,18,0,0
"934","DS",1980 Oct,14,0,0
"935","DS",1980 Nov,16,0,0
"936","DS",1980 Dec,16,0,0
"937","DS",1981 Jan,19,0,0
"938","DS",1981 Feb,10,0,0
"939","DS",1981 Mar,20,0,0
"940","DS",1981 May,23,0,0
"941","DS",1981 Jun,24,0,0
"942","DS",1981 Jul,26,0,0
"943","DS",1981 Aug,6,0,0
"944","DS",1981 Sep,3,0,0
"945","DS",1981 Oct,16,0,0
"946","DS",1981 Nov,13,0,0
"947","DS",1981 Dec,10,0,0
"948","DS",1982 Jan,12,0,0
"949","DS",1982 Feb,20,0,0
"950","DS",1982 Mar,17,0,0
"951","DS",1982 Apr,26,0,0
"952","DS",1982 May,27,0,0
"953","DS",1982 Jun,29,0,0
"954","DS",1982 Jul,28,0,0
"955","DS",1982 Aug,22,0,0
"956","DS",1982 Sep,15,0,0
"957","DS",1982 Nov,20,0,0
"958","DS",1983 Jan,17,0,0
"959","DS",1983 Feb,9,0,0
"960","DS",1983 Mar,16,0,0
"961","DS",1983 Apr,29,0,0
"962","DS",1983 May,22,0,0
"963","DS",1983 Jun,22,0,0
"964","DS",1983 Jul,8,0,0
"965","DS",1983 Aug,12,0,0
"966","DS",1983 Sep,21,0,0
"967","DS",1983 Oct,23,0,0
"968","DS",1983 Nov,20,0,0
"969","DS",1983 Dec,17,0,0
"970","DS",1984 Feb,10,0,0
"971","DS",1984 Mar,13,0,0
"972","DS",1984 Apr,12,0,0
"973","DS",1984 May,3,0,0
"974","DS",1984 Jul,2,0,0
"975","DS",1984 Aug,2,0,0
"976","DS",1984 Sep,3,0,0
"977","DS",1984 Oct,3,0,0
"978","DS",1984 Dec,1,0,0
"979","DS",1985 Jan,2,0,0
"980","DS",1985 Feb,3,0,0
"981","DS",1985 Mar,4,0,0
"982","DS",1985 May,6,0,0
"983","DS",1985 Jun,10,0,0
"984","DS",1985 Jul,9,0,0
"985","DS",1985 Aug,5,0,0
"986","DS",1985 Sep,8,0,0
"987","DS",1985 Oct,10,0,0
"988","DS",1985 Nov,10,0,0
"989","DS",1985 Dec,8,0,0
"990","DS",1986 Mar,13,0,0
"991","DS",1986 Apr,13,0,0
"992","DS",1986 May,12,0,0
"993","DS",1986 Jun,5,0,0
"994","DS",1986 Jul,7,0,0
"995","DS",1986 Aug,7,0,0
"996","DS",1986 Sep,7,0,0
"997","DS",1986 Oct,6,0,0
"998","DS",1986 Nov,8,0,0
"999","DS",1986 Dec,8,0,0
"1000","DS",1987 Feb,9,0,0
"1001","DS",1987 Mar,10,0,0
"1002","DS",1987 Apr,24,0,0
"1003","DS",1987 May,10,0,0
"1004","DS",1987 Jun,3,0,0
"1005","DS",1987 Jul,19,0,0
"1006","DS",1987 Aug,7,0,0
"1007","DS",1987 Sep,8,0,0
"1008","DS",1987 Oct,7,0,0
"1009","DS",1987 Nov,5,0,0
"1010","DS",1988 Jan,5,0,0
"1011","DS",1988 Feb,5,0,0
"1012","DS",1988 Mar,4,0,0
"1013","DS",1988 Apr,6,0,0
"1014","DS",1988 May,7,0,0
"1015","DS",1988 Jun,6,0,0
"1016","DS",1988 Jul,4,0,0
"1017","DS",1988 Aug,4,0,0
"1018","DS",1988 Sep,2,0,0
"1019","DS",1988 Oct,3,0,0
"1020","DS",1988 Nov,4,0,0
"1021","DS",1988 Dec,4,0,0
"1022","DS",1989 Jan,3,0,0
"1023","DS",1989 Feb,3,0,0
"1024","DS",1989 Mar,5,0,0
"1025","DS",1989 Apr,4,0,0
"1026","DS",1989 May,3,0,0
"1027","DS",1989 Jun,3,0,0
"1028","DS",1989 Jul,5,0,0
"1029","DS",1989 Sep,1,0,0
"1030","DS",1989 Oct,2,0,0
"1031","DS",1989 Nov,2,0,0
"1032","DS",1989 Dec,2,0,0
"1033","DS",1990 Jan,3,0,0
"1034","DS",1990 Feb,1,0,0
"1035","DS",1990 Mar,2,0,0
"1036","DS",1990 Apr,1,0,0
"1037","DS",1990 May,1,0,0
"1038","DS",1990 Jun,2,0,0
"1039","DS",1990 Jul,1,0,0
"1040","DS",1990 Aug,2,0,0
"1041","DS",1990 Sep,1,0,0
"1042","DS",1990 Oct,1,0,0
"1043","DS",1990 Nov,1,0,0
"1044","DS",1990 Dec,1,0,0
"1045","DS",1991 Jan,1,0,0
"1046","DS",1991 Feb,1,0,0
"1047","DS",1991 Mar,1,0,0
"1048","DS",1991 Apr,1,0,0
"1049","DS",1991 May,1,0,0
"1050","DS",1991 Jun,1,0,0
"1051","DS",1991 Jul,1,0,0
"1052","DS",1991 Aug,1,0,0
"1053","DS",1991 Sep,1,0,0
"1054","DS",1991 Oct,1,0,0
"1055","DS",1991 Nov,1,0,0
"1056","DS",1992 Jan,1,0,0
"1057","DS",1992 Feb,1,0,0
"1058","DS",1992 Mar,1,0,0
"1059","DS",1992 Apr,2,0,0
"1060","DS",1992 May,3,0,0
"1061","DS",1992 Jul,3,0,0
"1062","DS",1992 Aug,2,0,0
"1063","DS",1992 Sep,2,0,0
"1064","DS",1992 Oct,1,0,0
"1065","DS",1992 Dec,2,0,0
"1066","DS",1993 Jan,2,0,0
"1067","DS",1993 Feb,1,0,0
"1068","DS",1993 Mar,2,0,0
"1069","DS",1993 Apr,2,2,1
"1070","DS",1993 May,3,2,0.666666666666667
"1071","DS",1993 Jun,3,0,0
"1072","DS",1993 Jul,1,0,0
"1073","DS",1993 Sep,1,1,1
"1074","DS",1993 Oct,1,0,0
"1075","DS",1993 Nov,1,0,0
"1076","DS",1993 Dec,1,0,0
"1077","DS",1994 Mar,1,0,0
"1078","DS",1994 Apr,2,1,0.5
"1079","DS",1994 May,1,0,0
"1080","DS",1994 Jun,1,1,1
"1081","DS",1994 Jul,1,0,0
"1082","DS",1994 Aug,1,0,0
"1083","DS",1994 Sep,1,0,0
"1084","DS",1994 Oct,1,0,0
"1085","DS",1997 Jul,2,0,0
"1086","DS",1997 Sep,1,0,0
"1087","DS",1997 Oct,1,0,0
"1088","DS",1997 Nov,1,0,0
"1089","DS",1997 Dec,1,0,0
"1090","DS",1998 Jan,1,0,0
"1091","DS",1998 Mar,2,1,0.5
"1092","DS",1998 Jun,1,1,1
"1093","DS",1998 Jul,1,0,0
"1094","DS",1998 Sep,1,0,0
"1095","DS",1998 Oct,1,1,1
"1096","DS",1998 Nov,1,0,0
"1097","DS",1998 Dec,1,0,0
"1098","DS",1999 Jan,1,0,0
"1099","DS",1999 Feb,1,0,0
"1100","DS",1999 Mar,1,0,0
"1101","DS",1999 Apr,2,1,0.5
"1102","DS",1999 May,1,0,0
"1103","DS",1999 Jun,1,0,0
"1104","DS",2003 Aug,1,1,1
"1105","DS",2008 Jan,1,1,1
"1106","DS",2008 Feb,1,0,0
"1107","DS",2008 Mar,1,0,0
"1108","DS",2008 Apr,2,1,0.5
"1109","DS",2008 May,2,0,0
"1110","DS",2008 Jun,7,2,0.285714285714286
"1111","DS",2008 Jul,1,0,0
"1112","DS",2008 Aug,3,1,0.333333333333333
"1113","DS",2008 Sep,2,0,0
"1114","DS",2008 Oct,4,2,0.5
"1115","DS",2008 Nov,3,1,0.333333333333333
"1116","DS",2008 Dec,2,0,0
"1117","DS",2009 Jan,1,0,0
"1118","DS",2009 Feb,1,0,0
"1119","DS",2009 Jun,1,1,1
"1120","DS",2009 Jul,2,1,0.5
"1121","DS",2009 Aug,2,0,0
"1122","DS",2009 Sep,3,0,0
"1123","DS",2009 Oct,2,0,0
"1124","DS",2009 Nov,2,0,0
"1125","DS",2009 Dec,2,0,0
"1126","DS",2010 Jan,1,0,0
"1127","DS",2010 Feb,1,0,0
"1128","DS",2016 May,1,1,1
"1129","DS",2016 Jun,1,0,0
"1130","DS",2016 Jul,1,0,0
"1131","DS",2016 Aug,1,0,0
"1132","DS",2016 Oct,1,0,0
"1133","DS",2016 Nov,1,0,0
"1134","DS",2017 Jan,1,0,0
"1135","DS",2017 Feb,1,0,0
"1136","DS",2017 Jun,1,1,1
"1137","DS",2017 Oct,1,1,1
"1138","DS",2017 Nov,1,1,1
"1139","DS",2017 Dec,1,0,0
"1140","DS",2018 Jan,1,0,0
"1141","DS",2018 Feb,1,0,0
"1142","DS",2018 Mar,1,0,0
"1143","DS",2018 Apr,1,0,0
"1144","DS",2018 May,1,0,0
"1145","DS",2018 Jun,1,0,0
"1146","DS",2018 Jul,1,0,0
"1147","DS",2018 Sep,1,0,0
"1148","PB",1995 Sep,1,1,1
"1149","PB",1995 Oct,2,1,0.5
"1150","PB",1995 Dec,3,1,0.333333333333333
"1151","PB",1996 Jan,3,2,0.666666666666667
"1152","PB",1996 Feb,2,0,0
"1153","PB",1996 Mar,1,0,0
"1154","PB",1996 Jun,1,1,1
"1155","PB",1996 Jul,1,1,1
"1156","PB",1996 Aug,1,0,0
"1157","PB",1996 Sep,6,4,0.666666666666667
"1158","PB",1996 Oct,5,2,0.4
"1159","PB",1996 Nov,3,1,0.333333333333333
"1160","PB",1996 Dec,4,0,0
"1161","PB",1997 Feb,6,1,0.166666666666667
"1162","PB",1997 Mar,4,0,0
"1163","PB",1997 Apr,3,1,0.333333333333333
"1164","PB",1997 May,5,3,0.6
"1165","PB",1997 Jun,11,8,0.727272727272727
"1166","PB",1997 Jul,16,6,0.375
"1167","PB",1997 Sep,9,3,0.333333333333333
"1168","PB",1997 Oct,7,1,0.142857142857143
"1169","PB",1997 Nov,7,1,0.142857142857143
"1170","PB",1997 Dec,3,0,0
"1171","PB",1998 Jan,5,2,0.4
"1172","PB",1998 Mar,9,2,0.222222222222222
"1173","PB",1998 May,4,1,0.25
"1174","PB",1998 Jun,2,1,0.5
"1175","PB",1998 Jul,11,7,0.636363636363636
"1176","PB",1998 Aug,10,6,0.6
"1177","PB",1998 Sep,10,4,0.4
"1178","PB",1998 Oct,9,3,0.333333333333333
"1179","PB",1998 Nov,4,1,0.25
"1180","PB",1998 Dec,2,0,0
"1181","PB",1999 Jan,4,0,0
"1182","PB",1999 Feb,6,0,0
"1183","PB",1999 Mar,6,1,0.166666666666667
"1184","PB",1999 Apr,4,1,0.25
"1185","PB",1999 May,8,2,0.25
"1186","PB",1999 Jun,5,0,0
"1187","PB",1999 Sep,1,0,0
"1188","PB",1999 Oct,4,3,0.75
"1189","PB",1999 Nov,9,6,0.666666666666667
"1190","PB",1999 Dec,12,4,0.333333333333333
"1191","PB",2000 Jan,18,10,0.555555555555556
"1192","PB",2000 Feb,32,21,0.65625
"1193","PB",2000 Mar,23,5,0.217391304347826
"1194","PB",2000 Apr,23,7,0.304347826086957
"1195","PB",2000 Jun,24,7,0.291666666666667
"1196","PB",2000 Jul,54,26,0.481481481481481
"1197","PB",2000 Aug,30,14,0.466666666666667
"1198","PB",2000 Sep,14,0,0
"1199","PB",2000 Oct,8,3,0.375
"1200","PB",2000 Nov,12,1,0.0833333333333333
"1201","PB",2000 Dec,12,0,0
"1202","PB",2001 Jan,10,0,0
"1203","PB",2001 Mar,18,4,0.222222222222222
"1204","PB",2001 Apr,4,2,0.5
"1205","PB",2001 May,10,6,0.6
"1206","PB",2001 Jun,9,5,0.555555555555556
"1207","PB",2001 Jul,11,9,0.818181818181818
"1208","PB",2001 Aug,28,14,0.5
"1209","PB",2001 Sep,23,7,0.304347826086957
"1210","PB",2001 Oct,28,6,0.214285714285714
"1211","PB",2001 Nov,24,3,0.125
"1212","PB",2001 Dec,8,0,0
"1213","PB",2002 Jan,7,1,0.142857142857143
"1214","PB",2002 Feb,17,2,0.117647058823529
"1215","PB",2002 Mar,15,1,0.0666666666666667
"1216","PB",2002 Apr,14,1,0.0714285714285714
"1217","PB",2002 May,26,12,0.461538461538462
"1218","PB",2002 Jun,30,12,0.4
"1219","PB",2002 Jul,28,13,0.464285714285714
"1220","PB",2002 Sep,6,1,0.166666666666667
"1221","PB",2002 Oct,29,13,0.448275862068966
"1222","PB",2002 Nov,32,10,0.3125
"1223","PB",2002 Dec,66,11,0.166666666666667
"1224","PB",2003 Feb,37,7,0.189189189189189
"1225","PB",2003 Mar,74,6,0.0810810810810811
"1226","PB",2003 May,73,31,0.424657534246575
"1227","PB",2003 Jun,39,15,0.384615384615385
"1228","PB",2003 Jul,36,7,0.194444444444444
"1229","PB",2003 Aug,28,2,0.0714285714285714
"1230","PB",2003 Sep,25,2,0.08
"1231","PB",2003 Oct,22,1,0.0454545454545455
"1232","PB",2003 Nov,17,1,0.0588235294117647
"1233","PB",2003 Dec,15,0,0
"1234","PB",2004 Jan,11,0,0
"1235","PB",2004 Feb,10,1,0.1
"1236","PB",2004 Mar,11,3,0.272727272727273
"1237","PB",2004 Apr,2,0,0
"1238","PB",2004 May,8,2,0.25
"1239","PB",2004 Jun,14,10,0.714285714285714
"1240","PB",2004 Jul,24,16,0.666666666666667
"1241","PB",2004 Aug,18,3,0.166666666666667
"1242","PB",2004 Sep,17,5,0.294117647058824
"1243","PB",2004 Oct,26,13,0.5
"1244","PB",2004 Nov,21,3,0.142857142857143
"1245","PB",2004 Dec,21,4,0.19047619047619
"1246","PB",2005 Jan,21,1,0.0476190476190476
"1247","PB",2005 Mar,10,0,0
"1248","PB",2005 Apr,10,0,0
"1249","PB",2005 May,8,2,0.25
"1250","PB",2005 Jun,14,8,0.571428571428571
"1251","PB",2005 Jul,18,13,0.722222222222222
"1252","PB",2005 Aug,27,16,0.592592592592593
"1253","PB",2005 Sep,66,21,0.318181818181818
"1254","PB",2005 Oct,11,4,0.363636363636364
"1255","PB",2005 Nov,34,5,0.147058823529412
"1256","PB",2005 Dec,21,2,0.0952380952380952
"1257","PB",2006 Jan,41,4,0.0975609756097561
"1258","PB",2006 Mar,31,2,0.0645161290322581
"1259","PB",2006 Apr,12,1,0.0833333333333333
"1260","PB",2006 May,13,6,0.461538461538462
"1261","PB",2006 Jun,2,1,0.5
"1262","PB",2006 Jul,21,11,0.523809523809524
"1263","PB",2006 Aug,2,1,0.5
"1264","PB",2006 Sep,6,2,0.333333333333333
"1265","PB",2006 Oct,17,7,0.411764705882353
"1266","PB",2006 Nov,24,14,0.583333333333333
"1267","PB",2006 Dec,36,20,0.555555555555556
"1268","PB",2007 Jan,22,12,0.545454545454545
"1269","PB",2007 Feb,45,16,0.355555555555556
"1270","PB",2007 Mar,38,11,0.289473684210526
"1271","PB",2007 Apr,47,20,0.425531914893617
"1272","PB",2007 May,71,39,0.549295774647887
"1273","PB",2007 Jun,88,45,0.511363636363636
"1274","PB",2007 Jul,93,28,0.301075268817204
"1275","PB",2007 Aug,51,16,0.313725490196078
"1276","PB",2007 Sep,69,10,0.144927536231884
"1277","PB",2007 Oct,54,7,0.12962962962963
"1278","PB",2007 Nov,48,8,0.166666666666667
"1279","PB",2007 Dec,34,2,0.0588235294117647
"1280","PB",2008 Jan,28,0,0
"1281","PB",2008 Feb,27,2,0.0740740740740741
"1282","PB",2008 Mar,29,5,0.172413793103448
"1283","PB",2008 Apr,29,1,0.0344827586206897
"1284","PB",2008 May,30,3,0.1
"1285","PB",2008 Jun,54,6,0.111111111111111
"1286","PB",2008 Jul,7,0,0
"1287","PB",2008 Aug,14,1,0.0714285714285714
"1288","PB",2008 Sep,14,1,0.0714285714285714
"1289","PB",2008 Oct,12,0,0
"1290","PB",2008 Nov,10,1,0.1
"1291","PB",2008 Dec,9,1,0.111111111111111
"1292","PB",2009 Jan,5,0,0
"1293","PB",2009 Feb,5,0,0
"1294","PB",2009 Mar,4,0,0
"1295","PB",2009 Apr,10,3,0.3
"1296","PB",2009 May,11,4,0.363636363636364
"1297","PB",2009 Jun,13,7,0.538461538461538
"1298","PB",2009 Jul,9,4,0.444444444444444
"1299","PB",2009 Aug,7,1,0.142857142857143
"1300","PB",2009 Sep,4,0,0
